sourceTweetID     , K                        , r                     , t0                    , final_reactions, data_points
521360486387175424,        8.57552746302005  , 0.040582782025310404  , 40.509947274069276    ,               9,           8
521310417696858112,       23.1545624860625   , 0.03853452851433901   , 53.68755328635816     ,              24,          11
521361857810939905,       14.006987164964531 , 0.052588302669311374  , 249.71534545920724    ,              14,           8
521346721226711040,       22.20807074433425  , 0.07425498099191344   , 21.22041581489473     ,              25,           8
521359454672269313,   127593.52257730282     , 0.0040055373568675025 , 2191.177972870696     ,              25,           4
521369179392581632,       14.569531117214217 , 0.15720154919346274   , -3.094703991882459    ,              15,           4
522286703848218624,   143595.0765837217      , 0.023018181076806712  , 470.86611555000746    ,               7,           4
521595221155774464,       15.789013671623913 , 0.008599999214314542  , -75.41357376779898    ,              16,           7
521350916872876033,       20.586288355052112 , 0.10854838856324991   , 15.98425862745814     ,              19,           5
521381662551474176,       19.511274421667242 , 0.01779859326642528   , 15.818013465183167    ,              20,          10
521375609206083584,       15.683791998260288 , 0.007036727590093877  , 122.60944506952387    ,              13,           8
529649368656134144,        7.5037695984533554, 0.06142154057890157   , -1.9114457783492491   ,               8,           5
529654845838741504,       14.692091653023994 , 0.20376721538902778   , 0.42357652491348563   ,              15,           4
529702439164067840,   234819.82199564567     , 0.011436645872423445  , 1018.0765685134483    ,               9,           6
529652269105815553,        7.794438519486802 , 0.06936789038282208   , 11.995998283091598    ,               8,           6
529653029747064832,        6.4706188912272085, 0.01577020696459759   , 72.80292907884117     ,               7,           7
529828486975066112,   251118.64760193884     , 0.0014045957216913775 , 8602.93381734498      ,               7,           7
529726642902810625,       10.075379060091356 , 0.09858925690096992   , 0.5286700363775145    ,              10,           4
529669611030331392,       11.644684092824583 , 0.02745463068858925   , -9.988994190846428    ,              12,           6
529627706057834496,    39615.61209171672     , 0.0034797999931741367 , 2617.965434228988     ,               7,           4
529724757366022145,  1009203.940610923       , 0.02331438830714384   , 534.4084028716338     ,               8,           4
529763844176896000,       13.553320029084666 , 0.05610675939661447   , 18.438540058179765    ,              15,          10
529739968470867968,       10.085871982641244 , 0.06881667568434323   , 1.665740866509389     ,              10,           5
529540733020405760,       14.133837505584289 , 0.009936521369507177  , 40.35309452284324     ,              15,           8
529696730607271936,       14.44033409919454  , 0.05456752283898961   , 34.065397035161766    ,              15,          10
529773194027073537,        5.033132051955483 , 0.044610826883237205  , 25.35935480058995     ,               5,           5
529735459069788161,      122.10530132638688  , 0.003625035304972915  , 970.3362949588992     ,              11,           7
529648452511473666,       10.376678620665974 , 0.017291743345910437  , 68.69021428029306     ,              11,           8
529679889923076096,       18.188110368986038 , 0.020721471726941512  , 24.85024469978211     ,              18,           6
529723420993683457,       65.7665585676226   , 0.03177661061039584   , 1195.9692206949933    ,              16,           7
529674474019651584,        8.57709324577179  , 0.05641075060310652   , 12.515290721457102    ,               9,           6
529655746074779648,        4.502453748180569 , 0.02256631062482042   , 9.691601767519675     ,               5,           4
529646030472904704,       17.02261937324552  , 0.03497731793818249   , 24.270770505304142    ,              16,           7
529670566031421440,        6.791128603362361 , 0.09409251305900412   , 1.4017244908152786    ,               7,           4
529643568873230337,        4.054839996707994 , 0.014272257000138207  , 48.87089341366746     ,               4,           4
529627707382853632,        7.0791886579848535, 0.006736521831142783  , 222.06196087328487    ,               6,           6
529695483661664257,        7.248778458328192 , 0.11225360121522815   , 17.410990264496046    ,               7,           4
529694805010685952,       11.587491559979105 , 0.03185971273976615   , 55.93850514775982     ,              11,           6
529627936622931968,       11.570654560106524 , 0.025862749722197605  , 38.182348646506036    ,               6,           4
529628988683976704,        5.8895369761257905, 0.03631612369668446   , 12.781861172064023    ,               6,           5
529648547864399872,   335399.68757936545     , 0.005640402055576161  , 2108.3494643914933    ,               6,           5
529730550169624579,    64618.568969059124    , 0.008888116236386445  , 1209.0259903031515    ,               4,           4
529731513613836288,   591328.3908298995      , 0.04516798085951211   , 324.63507964527867    ,               6,           4
529644561770217473,       13.035677120178445 , 0.006960701243979298  , -65.27595955682997    ,              13,           5
529689763230797824,        9.144475916349853 , 0.033416351418617374  , 35.19999056920608     ,              10,           8
529684962778570753,        6.001817198253454 , 0.16087122506513896   , 10.004912628255983    ,               6,           4
529399936434327552,       17.003916375686945 , 0.015233267829088043  , 60.3079748439767      ,              18,          10
529654186791944192,       25.426877167219523 , 0.007991918111628691  , 136.80431038614955    ,              11,           5
529654489356070912,        5.0121093883529815, 0.04429973843790252   , 34.536880310128694    ,               5,           4
529771847186124800,       14.738397120014703 , 0.03610231100216787   , 11.547667637142048    ,              16,           7
529707148537004033,        9.742007715422949 , 0.06628511128966985   , 14.159175777913939    ,              10,           5
529728291545284608,       21.92600241718993  , 0.023038928340598463  , 52.95763703173509     ,              13,           6
529654321873715200,       12.237923943037513 , 0.014187104020567347  , 153.09633900972634    ,              12,           7
529674135098900481,        8.753758689946824 , 0.026174342907015518  , 43.4145426223963      ,               8,           7
529725730603925505,        6.021649957120941 , 0.07361318728700918   , 9.795957985135557     ,               6,           4
529818929607475201,       13.60889049710153  , 0.004235079095542494  , 225.55770759691995    ,              14,          12
529667041142124544,        8.045612180289849 , 0.034339226321190644  , 26.704055991276682    ,               8,           7
577302850318938113,        4.0               , 0.1                   , 330.0                 ,               4,           4
576847722055131136,       11.570654560106524 , 0.025862749722197605  , 38.182348646506036    ,               6,           4
576546827643703296,       11.989800641984354 , 0.002368823089941862  , 852.6216108353922     ,               5,           5
576657704933990400,        6.48354137509053  , 0.020507217191343904  , 50.6907267600054      ,               7,           7
576321776424189954,        8.004443979256058 , 0.03631939955283865   , 31.589386064778978    ,               9,           5
576494415851626496,        4.000067765602271 , 0.10985784075889016   , 770.0003084188552     ,               4,           4
576807652145160192,       25.42669914884104  , 0.08154911708980572   , 12.756386676631712    ,              24,           6
576848770136174594,        5.969355685892437 , 0.008833879711811848  , -21.93954768181763    ,               6,           4
576499275754041344,        4.499999999998909 , 0.1                   , 1790.0                ,               5,           4
576427952860045313,        4.592729955205575 , 0.01458288611541884   , 88.48629098652047     ,               5,           5
576855835445428225,    49291.153914433795    , 0.01034492137859816   , 963.1312780135061     ,               5,           4
576477089043488769,       22.770057509532897 , 0.039009138932581476  , 18.282843688593967    ,              23,           9
576406521833086976,       12.26251664560511  , 0.08093836015091448   , 15.83496417783885     ,              12,           6
576767713328144384,        7.5014176332475   , 0.17840279161303485   , 52.26062784506799     ,               8,           5
577300802294804481,       22.379791148730764 , 0.12437917129472685   , -5.845280019741107    ,              23,           5
576504635738951680,       16.352124949162928 , 0.0025357629601922165 , 436.98075514097013    ,              18,          14
576552070456741888,        3.984296376713731 , 0.01623442941387014   , 36.88747942698801     ,               4,           4
577303162765250560,        4.000015701374081 , 0.10985111955309748   , 129.99975124529078    ,               4,           4
576319832800555008,       15.681353482865502 , 0.024356212794454567  , 34.235344995806045    ,              16,          11
577294310573502465,        9.100625025217264 , 0.1212403593944645    , 32.83565946093876     ,               9,           6
577258317942149120,   717257.4987871934      , 0.010670931990244758  , 1211.9018808399526    ,               6,           4
576812336952000512,       14.967786593972768 , 0.051675667998749536  , 22.411696709608105    ,              16,          10
576694748095782912,       21.552949239389495 , 0.0038974010551786472 , 402.0589898472013     ,              24,          15
