sourceTweetID     , total_reactions, reactions_10min, reactions_1hr, reactions_24hr, lifespan_minutes      , max_bin_reactions, num_time_bins, K                        , r                 , t0                 , final_reactions, data_points, text_length, num_mentions, num_hashtags, num_urls, source_platform             , hour_of_day, day_of_week, is_weekend, created_at_iso           , user_id   , followers_count, friends_count, statuses_count, favourites_count, verified, default_profile_image, geo_enabled, account_age_days, event
498235547685756928,              14,               1,             2,             10,  2442.6               ,                 2,            13,       11.665533345274795 , 0.0066962179269021, 233.62060537937583 ,            14.0,        13.0,         128,            0,            1,        0, Twitter for iPad            ,          22,           5,          1, 2014-08-09T22:33:06+00:00, 1539100118,              59,           151,           1687,              413,        0,                     0,           0,              413, ferguson-all-rnr-threads
498248415223246848,              27,               4,            12,             26,  1679.8833333333334   ,                 4,            16,       24.77895357403341  , 0.0260758307896769, 52.75141784089464  ,            27.0,        16.0,         109,            0,            1,        0, iOS                         ,          23,           5,          1, 2014-08-09T23:24:13+00:00,   14090948,          100400,          1031,          12481,             1283,        1,                     0,           1,             2347, ferguson-all-rnr-threads
498248648699150336,              56,               5,            30,             55,  2513.016666666667    ,                12,            22,       52.07317280575303  , 0.0132999099766267, 58.929877238985576 ,            56.0,        22.0,          75,            0,            1,        0, iOS                         ,          23,           5,          1, 2014-08-09T23:25:09+00:00,   14090948,          100400,          1031,          12481,             1283,        1,                     0,           1,             2347, ferguson-all-rnr-threads
498250100079341568,               5,               1,             5,              5,    44.55              ,                 2,             4,        4.950272461694989 , 0.1473813182540712, 8.220929737036291  ,             5.0,         4.0,         123,            2,            1,        0, Twitter for Android         ,          23,           5,          1, 2014-08-09T23:30:55+00:00, 1921517718,             384,           765,          21606,              151,        0,                     0,           0,              313, ferguson-all-rnr-threads
498251940997136384,               8,               1,             2,              7,  4075.716666666666    ,                 4,             5,        8.056634902871807 , 0.0550958850198436, 39.07936751200659  ,             8.0,         5.0,         131,            1,            1,        0, TweetDeck                   ,          23,           5,          1, 2014-08-09T23:38:14+00:00,  228120405,            1685,           874,          71259,             2218,        0,                     0,           0,             1330, ferguson-all-rnr-threads
498253149707464704,               3,               2,             2,              3,   101.81666666666666  ,                 2,             2,                          ,                   ,                    ,                ,            ,         127,            0,            1,        0, TweetDeck                   ,          23,           5,          1, 2014-08-09T23:43:02+00:00,  228120405,            1680,           874,          71145,             2217,        0,                     0,           0,             1330, ferguson-all-rnr-threads
498253652755111937,               9,               1,             2,              8,  1671.5               ,                 2,             8,        7.961005897195403 , 0.013347011824999 , 109.0877289941863  ,             9.0,         8.0,         138,            0,            1,        0, Tweetbot for Mac            ,          23,           5,          1, 2014-08-09T23:45:02+00:00,    7607852,            3475,           511,          17129,             2426,        0,                     0,           0,             2577, ferguson-all-rnr-threads
498254340310966273,              42,               1,            14,             21,  2655.5333333333333   ,                 6,            16,       31.124999999976275 , 0.1               , 890.0              ,            42.0,        16.0,         143,            0,            2,        0, Twitter Web Client          ,          23,           5,          1, 2014-08-09T23:47:46+00:00,  552283163,            1034,           516,           5356,             3005,        0,                     0,           1,              848, ferguson-all-rnr-threads
498254540870017025,               5,               1,             3,              5,   172.43333333333334  ,                 1,             5,        4.499432584348824 , 0.0964519831284218, 12.634813805406692 ,             5.0,         5.0,         143,            0,            1,        0, Twitter for Android         ,          23,           5,          1, 2014-08-09T23:48:34+00:00,  532574426,              53,           370,           1140,              128,        0,                     0,           0,              871, ferguson-all-rnr-threads
498254929942028288,              20,               1,             3,             17,  2499.8166666666666   ,                 2,            18,       16.93505877672748  , 0.0101548213956098, 211.11391469533407 ,            20.0,        18.0,         138,            0,            1,        0, Twitter Web Client          ,          23,           5,          1, 2014-08-09T23:50:07+00:00,    7214972,          874288,          1416,          78426,            35025,        0,                     0,           1,             2595, ferguson-all-rnr-threads
