sourceTweetID     , total_reactions, reactions_10min, reactions_1hr, reactions_24hr, lifespan_minutes      , max_bin_reactions, num_time_bins, K                        , r                 , t0                 , final_reactions, data_points
498235547685756928,              14,               1,             2,             10,  2442.6               ,                 2,            13,       11.665533345274795 , 0.0066962179269021, 233.62060537937583 ,            14.0,        13.0
498248415223246848,              27,               4,            12,             26,  1679.8833333333334   ,                 4,            16,       24.77895357403341  , 0.0260758307896769, 52.75141784089464  ,            27.0,        16.0
498248648699150336,              56,               5,            30,             55,  2513.016666666667    ,                12,            22,       52.07317280575303  , 0.0132999099766267, 58.929877238985576 ,            56.0,        22.0
498250100079341568,               5,               1,             5,              5,    44.55              ,                 2,             4,        4.950272461694989 , 0.1473813182540712, 8.220929737036291  ,             5.0,         4.0
498251940997136384,               8,               1,             2,              7,  4075.7166666666662   ,                 4,             5,        8.056634902871807 , 0.0550958850198436, 39.07936751200659  ,             8.0,         5.0
498253149707464704,               3,               2,             2,              3,   101.81666666666666  ,                 2,             2,                          ,                   ,                    ,                ,          
498253652755111937,               9,               1,             2,              8,  1671.5               ,                 2,             8,        7.961005897195403 , 0.013347011824999 , 109.0877289941863  ,             9.0,         8.0
498254340310966273,              42,               1,            14,             21,  2655.5333333333333   ,                 6,            16,       31.124999999976275 , 0.1               , 890.0              ,            42.0,        16.0
498254540870017025,               5,               1,             3,              5,   172.43333333333334  ,                 1,             5,        4.499432584348824 , 0.0964519831284218, 12.634813805406692 ,             5.0,         5.0
498254929942028288,              20,               1,             3,             17,  2499.8166666666666   ,                 2,            18,       16.93505877672748  , 0.0101548213956098, 211.11391469533407 ,            20.0,        18.0
498255721260400640,               4,               2,             3,              4,   166.83333333333334  ,                 2,             3,                          ,                   ,                    ,                ,          
498255816034893824,              28,               1,             1,             17,  3030.25              ,                 7,            16,       21.050529065698715 , 0.0237303956171322, 203.64277776731967 ,            28.0,        16.0
498256407980826625,              14,               6,            10,             14,   349.65              ,                 6,             7,       13.936111503091336 , 0.0157714521739852, -6.192348527852713 ,            14.0,         7.0
498259432237969408,              10,               2,             8,             10,   963.3666666666668   ,                 2,             6,        9.982374470957238 , 0.0682198683993489, 23.51063706508869  ,            10.0,         6.0
498259903962570752,              16,               3,             7,             15,  1788.5               ,                 3,            12,       15.377632388435067 , 0.0072619377376401, 112.87110464234188 ,            16.0,        12.0
498262106937237504,              19,               3,            10,             19,   261.8               ,                 3,            13,       18.50931754056268  , 0.0221504513741011, 55.20898869450584  ,            19.0,        13.0
498263598062661633,              10,               1,             4,              7,  2120.55              ,                 2,             8,        9.00500357565223  , 0.0066186876080726, 149.30751379618704 ,            10.0,         8.0
498264107460870144,             104,              11,            24,             28,  3142.2166666666667   ,                14,            18,      106.3829836936766   , 0.0407610446831029, 3017.210236103422  ,           104.0,        18.0
498264393185239040,              19,              10,            16,             19,    64.1               ,                10,             6,  1497643.907937277       , 0.0105557928001568, 1131.8432757708904 ,            19.0,         6.0
498265095559184384,              19,               3,             8,             19,  1245.9833333333331   ,                 3,             9,       18.57158209949736  , 0.0277276121096155, 65.01181712779658  ,            19.0,         9.0
498265555833720832,               1,               1,             1,              1,     0.0               ,                 1,             1,                          ,                   ,                    ,                ,          
498267196833808384,              15,               3,             8,             15,   153.56666666666666  ,                 3,             7,       16.213798497353668 , 0.0259509233607098, 45.1247063498641   ,            15.0,         7.0
498267673789472768,              19,               2,             8,             19,   427.45              ,                 5,            11,       17.61273238533713  , 0.0164127128124634, 71.71385528619672  ,            19.0,        11.0
498268463639851008,               7,               1,             3,              5,  1754.3333333333333   ,                 2,             6,        6.456119579120892 , 0.0280573073595855, 39.09445232478497  ,             7.0,         6.0
498269289812856832,               4,               3,             3,              4,    84.48333333333333  ,                 3,             2,                          ,                   ,                    ,                ,          
498269365175721984,               1,               1,             1,              1,     0.0               ,                 1,             1,                          ,                   ,                    ,                ,          
498269636551798784,               1,               1,             1,              1,     0.0               ,                 1,             1,                          ,                   ,                    ,                ,          
