sourceTweetID,total_reactions,reactions_10min,reactions_20min,reactions_30min,reactions_45min,reactions_1hr,reactions_3hr,reactions_24hr,lifespan_minutes,max_bin_reactions,num_time_bins,K,r,t0,final_reactions,data_points,text_length,num_mentions,num_hashtags,num_urls,source_platform,hour_of_day,day_of_week,is_weekend,created_at_iso,user_id,followers_count,friends_count,statuses_count,favourites_count,verified,default_profile_image,geo_enabled,account_age_days,event
498235547685756928,84,6,6,6,12,12,30,60,2442.6,12,35,72.35093636517492,0.0026214689737954,353.4055139686642,84.0,35.0,128,0,1,0, Twitter for iPad            ,22,5,1, 2014-08-09T22:33:06+00:00,1539100118,59,151,1687,413,0,0,0,413, ferguson-all-rnr-threads         
498248415223246848,162,24,36,36,60,72,126,156,1679.8833333333334,59,30,150.24564662568278,0.0170078905742403,28.226443296472336,162.0,30.0,109,0,1,0, iOS                         ,23,5,1, 2014-08-09T23:24:13+00:00,14090948,100400,1031,12481,1283,1,0,1,2347, ferguson-all-rnr-threads         
498248648699150336,336,30,102,120,144,180,228,330,2513.016666666667,134,45,318.8307916014752,0.0087759177587933,21.35446900563751,336.0,45.0,75,0,1,0, iOS                         ,23,5,1, 2014-08-09T23:25:09+00:00,14090948,100400,1031,12481,1283,1,0,1,2347, ferguson-all-rnr-threads         
498250100079341568,30,6,18,24,30,30,30,30,44.55,23,5,37.99837041289349,0.0215981463129997,-20.09755060828429,30.0,5.0,123,2,1,0, Twitter for Android         ,23,5,1, 2014-08-09T23:30:55+00:00,1921517718,384,765,21606,151,0,0,0,313, ferguson-all-rnr-threads         
498251940997136384,48,6,6,12,12,12,42,42,4075.716666666666,19,10,45.599999999994765,0.1,2015.0,48.0,10.0,131,1,1,0, TweetDeck                   ,23,5,1, 2014-08-09T23:38:14+00:00,228120405,1685,874,71259,2218,0,0,0,1330, ferguson-all-rnr-threads         
498253149707464704,18,12,12,12,12,12,18,18,101.81666666666666,13,4,421977.0556141762,0.0031362034598946,3326.18266492272,18.0,4.0,127,0,1,0, TweetDeck                   ,23,5,1, 2014-08-09T23:43:02+00:00,228120405,1680,874,71145,2217,0,0,0,1330, ferguson-all-rnr-threads         
498253652755111937,54,6,6,12,12,12,30,48,1671.5,13,25,49.86170443804235,0.0043948338419835,135.1989723976186,54.0,25.0,138,0,1,0, Tweetbot for Mac            ,23,5,1, 2014-08-09T23:45:02+00:00,7607852,3475,511,17129,2426,0,0,0,2577, ferguson-all-rnr-threads         
498254340310966273,252,6,6,30,66,84,126,126,2655.5333333333333,53,27,6356291.418168223,0.0003318507738186,33680.56192425769,252.0,27.0,143,0,2,0, Twitter Web Client          ,23,5,1, 2014-08-09T23:47:46+00:00,552283163,1034,516,5356,3005,0,0,1,848, ferguson-all-rnr-threads         
498254540870017025,30,6,12,18,18,18,30,30,172.43333333333334,17,11,79.67354077546402,0.0044156832601452,285.9200606768697,30.0,11.0,143,0,1,0, Twitter for Android         ,23,5,1, 2014-08-09T23:48:34+00:00,532574426,53,370,1140,128,0,0,0,871, ferguson-all-rnr-threads         
498254929942028288,120,6,12,12,18,18,42,102,2499.8166666666666,18,48,114.6182828205129,0.0021442496389865,375.9162225394225,120.0,48.0,138,0,1,0, Twitter Web Client          ,23,5,1, 2014-08-09T23:50:07+00:00,7214972,874288,1416,78426,35025,0,0,1,2595, ferguson-all-rnr-threads         
